,date,user,tweet
70,2023-04-01 06:59:58+00:00,crick_funn,"Viewership Bating

#Hotstar - 1.8 Crore #ViratKohli𓃵 
#JioCinema  - 1.6 Crore #MSDhoni𓃵 https://t.co/XdjKcplOBo"
71,2023-04-01 06:57:31+00:00,Vs54318738,"We never expecting this type broadcasting @JioCinema
#ipl #IPL2023 #JioCinema"
72,2023-04-01 06:57:29+00:00,ram_bijendra,"What’s wrong with #JioCinema ?
It never works"
73,2023-04-01 06:57:22+00:00,TheBharatIndia1,"INDIANS AMONG DEAD ILLEGAL MIGRANTS FROM CANADA TO U.S.
#Indigo #lawrencebishnoilatestinterview #ViratKohli #JioCinema #jiocrash https://t.co/rRKSOkd5Ex"
74,2023-04-01 06:56:42+00:00,gzeimar,He threw his food on the floor |Picasso România 😳 #เอ๋ชนม์สวัสดิ์ #AustralianGP #RussiaIsCollapsing #IPL2023OpeningCeremony #JioCinema #thankyouPikamee #cskvsgt https://t.co/Ac2eMjm1ff
75,2023-04-01 06:56:08+00:00,JaySavla15,@joybhattacharj Add to it the streaming issues of #JioCinema
76,2023-04-01 06:55:35+00:00,ilpuntoZeno,"https://t.co/YxJQrQAhvw
#JioCinema #TrumpIndicted #Trump #LaRussadimettiti #PapaFrancesco #PapaFrancisco #Chiesa"
77,2023-04-01 06:53:57+00:00,kavita_mukti,"Let us pay tribute to the sacrifice of HC Anil Kumar Sarkar, HC Mohini Mohan Roy, and CT Man Bahadur Rai, who made the ultimate sacrifice in the Battle of Khalapara. #KhalparaWarMemorial   #KhalparaWarMemorial #TejRan #PriyAnkitᅠ #BangladeshLiberationWar #ViratKohli #JioCinema https://t.co/PlZKUndSOS"
78,2023-04-01 06:50:47+00:00,SatanKaAttorney,"Hopefully Jio will have got enough slurs to start working well today 
#JioCinema"
79,2023-04-01 06:50:43+00:00,Purvi__yaar,"Watching IPL in bhojpuri is a real feel🔥😂
#IPL2023OpeningCeremony #IPLbhojpuri #JioCinema https://t.co/PGuwkt32QO"
80,2023-04-01 06:50:42+00:00,HeruPra26690615,"jaket TAD pria waterproof parasut taslan dengan potongan 10%!. Dapatkan sekarang juga di Shopee!👇👇👇

🛒 https://t.co/aDgKOtMSk4
•
•
#jaketmiliter #shoppe #diskonlebaran #YaliCapkini #DonaldTrump #AustralianGP #TimelessAlbum #JioCinema #thankyouPikamee https://t.co/hvMkYszhnZ"
81,2023-04-01 06:49:56+00:00,FanportOfficial,"ഐ പി എൽ ആവേശം, ഒറ്റ ദിവസം 2.5 കോടി പേര് ജിയോ സിനിമ ഇൻസ്റ്റാൾ ചെയ്തു #JioCinema #TATAIPL

https://t.co/TNxjFNujTf"
82,2023-04-01 06:49:48+00:00,Purushoth_kumar,@_MukeshAmbani @reliancejio @reliancegroup @JioCinema Free internet free calls free IPL broadcast like wise when will u launch free tax for Indians🙏🙏🙏 @IncomeTaxIndia @nsitharaman @taxmannindia @anand_srini @PechuMoney #TATAIPL #JioCinema #incometax #taxreturn
83,2023-04-01 06:48:49+00:00,Sid_Puri,"@JioCare @JioCare #JioCinema #JioFiber there has been no resolution from your end and no call back arranged from your emd yet.

What is the turn around time to customer and havi g the query resolved?"
84,2023-04-01 06:48:18+00:00,caprashant1,@vikrantgupta73 @JioCinema Ambani reaction to those who watch #JioCinema for free on Airtel internet https://t.co/fsgajYxL02
85,2023-04-01 06:47:23+00:00,SkempLAWD,"#SKEMP

7’3” SHOOTING BREAK STARTER

#2K23

#TWITCH #TTV

#LIVE #LIVEnow

#RecWitRANDOMZ

#2kcrewfinder #2kcommunity @2KHUNTSEARCH #SkempLAWD #NBA #BasketBall #2Kfreeagent #2KLEAGUE #breakstarter #PS5 #Playstation5 #TimelessAlbum #MAGATears #JioCinema 👾

https://t.co/R8kkq5JAjd"
86,2023-04-01 06:47:23+00:00,Sumantyagi101,"#BreakingNews 
#गैंगरेप का आरोप में एक पिता को बचाने के लिए उसकी बेटी सामने आई 
थाने के सामने गला काटकर सुसाइड की कोशिश भी की..
#VideoViral @CMOfficeUP  #ViralVideos #viralindo #IPL2023 #ChinglesGetsGOAT #JioCinema #AustralianGP #ausgp https://t.co/Jx12xFpU5d"
87,2023-04-01 06:45:40+00:00,sandeepohri,"#IPL Ad Revenues are down this year.

Is it because of the competition between #JioCinema and #StarSports? 

Last year's deals were worth Rs 4600 cr.

This year they are reported to be only Rs 3000 cr. (Mint)

#thecuratednews #news #newsupdate #marketing #tataipl #iplt20 #cricket https://t.co/o2tK0m2htA"
88,2023-04-01 06:44:21+00:00,AnjaliJain1999,"बॉडी गार्ड हो तो एसा....👇👇😂😂😍😍
#bodyguard #SalmanKhan #film #viral #VideoViral #VIDEO #viralindo #IPL2023 #ChinglesGetsGOAT #JioCinema #AustralianGP #ausgp #TeJran https://t.co/zVziNCGZ1J"
89,2023-04-01 06:44:19+00:00,BimaLtsa,@WiseCrypto_ @mcxpartnership #JioCinema #thankyouPikamee #cp_video
90,2023-04-01 06:43:04+00:00,GadgetGuyAkshay,"Different Camera Angles Feature for #IPL2023 on #JioCinema is Cool But, I think it just a Gimmick…
Don't know why everyone praising it…

#IPLonJioCinema"
91,2023-04-01 06:42:30+00:00,sforsodha,@cricketaakash @JioCinema Pehle network sudharo. Bhasha nahi aayegi to bhi chalega. Match to dikhao dhang se. #JioCinema #jiocinemacrash @JioCare @reliancejio
92,2023-04-01 06:41:02+00:00,sportsbooz,"Indian football captain and legend #SunilChhetri dropped by at the Chinnaswamy to watch #RCB practice, and spent time with #ViratKohli and the boys.
.
Follow SportsBooz for lightning fast updates
.
.
.
#RCBvsMI #dream11 #IPL2023OpeningCeremony #IPL2023 #JioCinema https://t.co/9WifPuXI8T"
93,2023-04-01 06:40:24+00:00,imhiren7,"#Reliance - 2329

- Reversal by creating double bottom, last candle strong bullish, Trendline Resistance available above that it will again start ready for upmove.

You tube : https://t.co/m2pRGcCZhI

#Ambani #JioCinema @AmitabhJha3 @kuttrapali26 @KommawarSwapnil @chartmojo https://t.co/NXaLawbh92"
94,2023-04-01 06:40:12+00:00,vijaydwivedii_,"#IPL2023 has many things like ImpactPlayer, reviews for No ball and Wide, ipl on #JioCinema but the only lit is #bhojpuricommentry 😂😂"
95,2023-04-01 06:39:38+00:00,mantuyadav13196,"CSK के बैटिंग देखे से ज्यादा त मजा भोजपुरी में कमेंट्री सुन के आवत बा l 
IPL इतिहास में पहली बार भोजपुरी कमेंट्री शामिल l 
#IPL2023 
#JioCinema 
#bhojpuricommentary https://t.co/7wil8KDlhI"
96,2023-04-01 06:39:08+00:00,kumar_sansad,"#Bhojpuri_comentary
गमछा बिछाय के 
#Match2023 #IPL2023 #JioCinema https://t.co/02995qbXw6"
97,2023-04-01 06:38:11+00:00,AleMarPTR,"Up to 50% off https://t.co/eb5A4vDWiV with code 📌XUIT📌

#AustralianGP #cskvsgt #NFFC #spring #sunday #IPL2023OpeningCeremony #JioCinema #milan #justicaporvitoria https://t.co/jFSdfE9k49"
98,2023-04-01 06:36:36+00:00,HeruPra26690615,"🥰Alma Dress | Size S M L XL XXL | Gamis Terbaru Gamis Jumbo Matt Syakila HQ dengan harga Rp84.900. Dapatkan di Shopee sekarang!👇👇👇

🛒 https://t.co/e33Mz17jkh
•
•
#YaliCapkini #DonaldTrump #AustralianGP #JISOO_Blooming_With_ME #RussiaIsCollapsing #TimelessAlbum #JioCinema https://t.co/s5Zhus5iSD"
99,2023-04-01 06:36:35+00:00,cricdhruv8,Don't want such hypocrite fans 😠 who change thier opinions in just 1 match @YashCSK_ what say 🤔 #IPL2023OpeningCeremony #cskvsgt  #TATAIPL2023 #TATAIPL #IPLonJioCinema #JioCinema https://t.co/GF5vi9zw7u
100,2023-04-01 06:35:48+00:00,Satyashivnara,"Hurricane in mind , Peace in life
#AndrewTate #IPL2023OpeningCeremony #JioCinema https://t.co/FGDnohQ5lc"
101,2023-04-01 06:35:44+00:00,Cricketmemes202,#IPL2023OpeningCeremony #SuhanaKhan #AjinkyaRahane #JioCinema #RCBvsMI https://t.co/iIIxepAY0e
